Group,Type,Platform,Amount,Date,Expiry
Liquid Funds,Savings Account,HDFC Bank,62485,2026-09-01,
Liquid Funds,Savings Account,SBI Bank,39500,2026-09-01,
Liquid Funds,Cash in Hand,In Hand,1500,2026-09-01,
Investments,Fixed Deposit (FD),SBI Bank,411011,2026-09-01,
Investments,Mutual Funds,Zerodha Coin,578141,2026-09-01,
Investments,Direct Equity / Stocks,Zerodha Kite & Smallcase,36717,2026-09-01,
Investments,Recurring Deposit (RD),HDFC Bank,320000,2026-09-01,
Outside Money,Lent Fund (Receivable),M Naveen,9400,2025-12-01,2025-12-01
Outside Money,Lent Fund (Receivable),Hemanth,1000,2026-09-01,2026-09-01
Physical Assets,Gold Asset,Physical / Sovereign Gold,240000,2026-09-01,
Perks & Rewards,Credit Card Reward Points,Rewards Program,3000,2026-09-01,2026-10-15
Perks & Rewards,Corporate Voucher,Employer,3500,2026-09-01,2026-09-30
Perks & Rewards,Digital Wallet Cash,Amazon Pay,1299,2026-09-01,2027-03-31
